Product,Shade,Product + Shade,Artnr
,,,CAI200
,,,CAI206
,,,CAI356
,,,CAI358
,,,CAI359
Eyeliner,DOUBLE TAKE FROM AM,Eyeliner DOUBLE TAKE FROM AM,CAI365
Eyeliner,DOUBLE TAKE TO PM,Eyeliner DOUBLE TAKE TO PM,CAI366
Ögonskuggor,MYKONOS NEW FORMULA,Ögonskuggor MYKONOS NEW FORMULA,CAI367
Ögonskuggor,AMORE,Ögonskuggor AMORE,CAI369
Ögonskuggor,BAE,Ögonskuggor BAE,CAI370
Ögonskuggor,CUDDLES,Ögonskuggor CUDDLES,CAI371
Ögonskuggor,STOCKHOLM,Ögonskuggor STOCKHOLM,CAI372
Läppglans,GOLDEN GLOSS  OLD FORMULA,Läppglans GOLDEN GLOSS  OLD FORMULA,CAI407
Läppglans,PINKY GLOSS OLD FORMULA,Läppglans PINKY GLOSS OLD FORMULA,CAI408
,,,CAI466
,,,CAI472
,,,CAI473
Läppglans,SUEDE,Läppglans SUEDE,CAI487
Läppglans,PINK SIP,Läppglans PINK SIP,CAI488
Läppennor,RUBY PLUM,Läppennor RUBY PLUM,CAI490
LÄPPAR,PLUM JAM,LÄPPAR PLUM JAM,CAI491
Läppbalsam,SHEER CINNAMON TINTED LIP BALM,Läppbalsam SHEER CINNAMON TINTED LIP BALM,CAI492
Läppglans,ICING,Läppglans ICING,CAI494
Läppglans,SMOKY ROSE,Läppglans SMOKY ROSE,CAI495
Läppglans,PETAL,Läppglans PETAL,CAI496
Läppglans,ROASTED,Läppglans ROASTED,CAI497
Läppglans,BONBON,Läppglans BONBON,CAI498
Sminkborstar,DETAILED HIGHLIGHTER BRUSH F23,Sminkborstar DETAILED HIGHLIGHTER BRUSH F23,CAI546
,,,CAI549
,,,CAI743
,BISOU Sample 2ml,BISOU Sample 2ml,CAI754
,LE SOIR LUMIÈRE Sample 2ml,LE SOIR LUMIÈRE Sample 2ml,CAI756
,SENSO Sample 2ml,SENSO Sample 2ml,CAI757
,NOTES OF LOVE,NOTES OF LOVE,CAI759
,,,CAI767
,,,CAI771
,,,CAI772
Serum & Ansiktsolja,SOOTHING SERUM,Serum & Ansiktsolja SOOTHING SERUM,CAI820
Serum & Ansiktsolja,GLOW UP SERUM,Serum & Ansiktsolja GLOW UP SERUM,CAI823
Body Glow,SILKY SENSATION DRY OIL WARM AMBER,Body Glow SILKY SENSATION DRY OIL WARM AMBER,CAI898
Kroppsvård,SILKY SENSATION WARM AMBER,Kroppsvård SILKY SENSATION WARM AMBER,CAI899
Kroppsvård,SILKY SENSATION WARM AMBER,Kroppsvård SILKY SENSATION WARM AMBER,CAI920
HÅRVÅRD,SMOOTH CONTROL,HÅRVÅRD SMOOTH CONTROL,CAI921
STYLING,SUPER SLEEK,STYLING SUPER SLEEK,CAI922
Hårmask,SOFT LOCKS,Hårmask SOFT LOCKS,CAI923
,Bare Glow PR box,Bare Glow PR box,CAI924
